datum,commits,merged_prs_cum,verzen_delta,verzen_cum,pct
2026-05-16,89,67,1378,1378,17.31
2026-05-17,151,156,311,1689,21.22
2026-05-18,88,224,165,1854,23.29
2026-05-19,51,274,117,1971,24.76
2026-05-20,52,326,109,2080,26.13
2026-05-22,26,354,94,2174,27.31
2026-05-23,54,382,121,2295,28.84
2026-05-24,157,496,273,2568,32.27
2026-05-25,225,643,348,2916,36.64
2026-05-26,456,913,624,3540,44.48
2026-05-27,305,1077,381,3921,49.26
2026-05-28,371,1305,532,4453,55.95
2026-05-29,239,1471,377,4830,60.69
2026-05-30,127,1577,243,5073,63.74
2026-05-31,85,1662,235,5308,66.69
2026-06-01,161,1792,345,5653,71.03
2026-06-02,215,1942,382,6035,75.83
2026-06-03,167,2041,262,6297,79.12
2026-06-04,128,2125,200,6497,81.63
2026-06-05,225,2270,338,6835,85.88
2026-06-06,422,2512,601,7436,93.43
2026-06-07,230,2645,345,7781,97.76
