Genesis,Gn.
Exodus,Ex.
Leviticus,Lv.
Numeri,Nm.
Deuteronomium,Dt.
Jozua,Jz.
Richteren,Ri.
Ruth,Ru.
1 Samuël,1Sm.
2 Samuël,2Sm.
1 Koningen,1Kn.
2 Koningen,2Kn.
1 Kronieken,1Kr.
2 Kronieken,2Kr.
Ezra,Ea.
Nehemia,Ne.
Esther,Es.
Job,Jb.
Psalmen,Ps.
Spreuken,Sp.
Prediker,Pr.
Hooglied,Hl.
Jesaja,Js.
Jeremia,Jr.
Klaagliederen,Kl.
Ezechiël,Ez.
Daniël,Dn.
Hosea,Hs.
Joël,Jl.
Amos,Am.
Obadja,Ob.
Jona,Jn.
Micha,Mc.
Nahum,Na.
Habakuk,Hk.
Zefanja,Zf.
Haggaï,Hg.
Zacharia,Zc.
Maleachi,Ml.
Mattheüs,Mt.
Markus,Mk.
Lucas,Lk.
Johannes,Jh.
Handelingen,Hd.
Romeinen,Rm.
1 Korinthe,1Kor.
2 Korinthe,2Kor.
Galaten,Gl.
Efeze,Ef.
Filippenzen,Fp.
Kolossenzen,Ko.
1 Thessalonicenzen,1Th.
2 Thessalonicenzen,2Th.
1 Timotheüs,1Tm.
2 Timotheüs,2Tm.
Titus,Tt.
Filemon,Fm.
Hebreeën,Hb.
Jakobus,Jk.
1 Petrus,1Pt.
2 Petrus,2Pt.
1 Johannes,1Jh.
2 Johannes,2Jh.
3 Johannes,3Jh.
Judas,Jd.
Openbaring,Op.
